date,transactions_bitcoin,transactions_ethereum
2015-08-07,111345,2050
2015-08-08,101512,2881
2015-08-09,90534,1329
2015-08-10,116841,2037
2015-08-11,114741,4963
2015-08-12,117898,2036
2015-08-13,117507,2842
2015-08-14,111255,3174
2015-08-15,94944,2284
2015-08-16,89498,2440
2015-08-17,115049,2512
2015-08-18,119798,2494
2015-08-19,120151,3246
2015-08-20,118230,2303
2015-08-21,113792,3919
2015-08-22,105665,3579
2015-08-23,94529,4190
2015-08-24,125368,4432
2015-08-25,121973,4487
2015-08-26,122852,4156
2015-08-27,120079,5590
2015-08-28,120385,4758
2015-08-29,107489,4139
2015-08-30,98339,4572
2015-08-31,127260,5196
2015-09-01,130410,5153
2015-09-02,150066,5195
2015-09-03,128682,4777
2015-09-04,103973,5642
2015-09-05,124218,5519
2015-09-06,106293,5521
2015-09-07,125467,5702
2015-09-08,125379,5622
2015-09-09,126457,5604
2015-09-10,124951,5341
2015-09-11,180002,6460
2015-09-12,137740,5596
2015-09-13,146048,6057
2015-09-14,166715,5572
2015-09-15,162999,5409
2015-09-16,167269,5872
2015-09-17,259279,5368
2015-09-18,161504,5802
2015-09-19,114851,5205
2015-09-20,109158,6402
2015-09-21,131679,6305
2015-09-22,136784,6804
2015-09-23,131400,7404
2015-09-24,125367,6224
2015-09-25,128166,5851
2015-09-26,115622,5907
2015-09-27,108749,5760
2015-09-28,138570,6123
2015-09-29,140664,5738
2015-09-30,139848,5870
2015-10-01,134327,6421
2015-10-02,139746,6063
2015-10-03,119567,6112
2015-10-04,103531,6624
2015-10-05,125548,6279
2015-10-06,144510,6458
2015-10-07,134931,7121
2015-10-08,140348,6926
2015-10-09,114644,6763
2015-10-10,127005,6529
2015-10-11,104550,6023
2015-10-12,134410,6593
2015-10-13,134878,6818
2015-10-14,141985,6830
2015-10-15,153495,6499
2015-10-16,143286,6795
2015-10-17,135911,6567
2015-10-18,119706,6481
2015-10-19,143969,6604
2015-10-20,146349,5897
2015-10-21,150199,6182
2015-10-22,147402,5979
2015-10-23,143468,6888
2015-10-24,140128,6361
2015-10-25,131488,5830
2015-10-26,116400,5938
2015-10-27,153740,6784
2015-10-28,160175,7346
2015-10-29,161062,7836
2015-10-30,166695,7941
2015-10-31,155400,7557
2015-11-01,152488,6915
2015-11-02,172108,6558
2015-11-03,186362,7399
2015-11-04,204198,7037
2015-11-05,182809,7498
2015-11-06,166893,7882
2015-11-07,151497,10996
2015-11-08,132550,12413
2015-11-09,159836,7689
2015-11-10,161962,8151
2015-11-11,158929,10217
2015-11-12,157847,9534
2015-11-13,154827,7891
2015-11-14,150474,7211
2015-11-15,143369,7170
2015-11-16,158316,7442
2015-11-17,156688,7145
2015-11-18,165269,7373
2015-11-19,154483,8876
2015-11-20,155774,6348
2015-11-21,151035,6822
2015-11-22,129659,7083
2015-11-23,145272,8260
2015-11-24,152324,7152
2015-11-25,151861,7098
2015-11-26,164671,7278
2015-11-27,160235,6639
2015-11-28,165676,6817
2015-11-29,129850,6853
2015-11-30,182648,8986
2015-12-01,178112,6794
2015-12-02,183523,6502
2015-12-03,164774,6971
2015-12-04,173586,6898
2015-12-05,186194,6784
2015-12-06,179712,9103
2015-12-07,192830,7141
2015-12-08,195221,6697
2015-12-09,220323,7001
2015-12-10,212036,7444
2015-12-11,210259,8105
2015-12-12,204141,8205
2015-12-13,189914,7426
2015-12-14,231477,15550
2015-12-15,223998,21098
2015-12-16,220420,10304
2015-12-17,216297,9612
2015-12-18,213847,9032
2015-12-19,213876,9314
2015-12-20,193847,9879
2015-12-21,229444,12063
2015-12-22,222717,21027
2015-12-23,221075,22740
2015-12-24,210228,13494
2015-12-25,180383,9521
2015-12-26,179363,10726
2015-12-27,160271,21867
2015-12-28,173129,12368
2015-12-29,184618,11358
2015-12-30,176447,21767
2015-12-31,155362,10301
2016-01-01,124092,8233
2016-01-02,149038,9164
2016-01-03,142608,9258
2016-01-04,181354,9474
2016-01-05,182371,16430
2016-01-06,172090,17074
2016-01-07,190234,22075
2016-01-08,181407,10919
2016-01-09,179968,11793
2016-01-10,161317,10320
2016-01-11,191196,10893
2016-01-12,194874,10862
2016-01-13,188131,17665
2016-01-14,183182,10653
2016-01-15,183642,9875
2016-01-16,191300,10664
2016-01-17,204128,9747
2016-01-18,213905,12916
2016-01-19,186858,13420
2016-01-20,209071,10610
2016-01-21,222743,10734
2016-01-22,213683,13848
2016-01-23,190400,11025
2016-01-24,201425,12798
2016-01-25,222150,17121
2016-01-26,230523,16511
2016-01-27,229677,18747
2016-01-28,225025,16765
2016-01-29,224394,16395
2016-01-30,194794,14661
2016-01-31,176045,14166
2016-02-01,222398,14199
2016-02-02,241722,14291
2016-02-03,191224,14274
2016-02-04,200661,14371
2016-02-05,225488,15249
2016-02-06,224156,31418
2016-02-07,212190,14264
2016-02-08,224755,14719
2016-02-09,231240,15517
2016-02-10,235527,17141
2016-02-11,220934,21440
2016-02-12,202527,18109
2016-02-13,184675,19327
2016-02-14,186088,16624
2016-02-15,220349,17159
2016-02-16,215940,17549
2016-02-17,227235,19990
2016-02-18,212979,16969
2016-02-19,217436,18412
2016-02-20,215728,16714
2016-02-21,206617,17119
2016-02-22,237696,18190
2016-02-23,244748,18482
2016-02-24,224927,19540
2016-02-25,216290,19503
2016-02-26,203635,21068
2016-02-27,182177,18981
2016-02-28,233436,19063
2016-02-29,265320,20358
2016-03-01,277094,21778
2016-03-02,270206,23562
2016-03-03,221652,24837
